MM,DD,YY,pH,Ammoina(ppm(mg/L)),Nitrite(ppm(mg/L)),Phoshate(ppm(mg/L))
05,27,16,9.0,0.5,0,0.25
06,08,16,8.0,0.50,0,0
06,15,16,8.0,0.25,0,0
06,22,16,7.5,0.50,0,0
06,29,16,8.0,0.25,0,0
07,13,16,7.0,0.25,0,0
07,20,16,7.0,0.25,0,0
07,26,16,7.5,0.25,0,0
08,03,16,7.0,0,0,0
08,10,16,7.0,0,0,0
08,17,16,7.0,0,0,0
08,24,16,7.0,0,0,0
08,31,16,7.5,0,0,0
09,06,16,7.0,0,0,0
09,15,16,7.0,0,0,0
09,21,16,7.0,0,0,0
09,28,16,7.0,0,0,0
10,14,16,7.5,0,0,0
10,22,16,8.0,0,0,0
03,27,17,8.0,0,0,0
04,03,17,7.5,0,0,0
04,10,17,8.0,0,0,0
04,17,17,8.0,0,0,0
04,24,17,7.5,0,0,0
