Week Number,YY,pH,Ammonia(ppm(mg/L)),Nitrite(ppm(mg/L)),Phosphate(ppm(mg/L))
22,16,9,0.5,0,0.25
24,16,8,0.5,0,0
25,16,8,0.25,0,0
26,16,7.5,0.5,0,0
27,16,8,0.25,0,0
29,16,7,0.25,0,0
30,16,7,0.25,0,0
31,16,7.5,0.25,0,0
32,16,7,0,0,0
33,16,7,0,0,0
34,16,7,0,0,0
35,16,7,0,0,0
36,16,7.5,0,0,0
37,16,7,0,0,0
38,16,7,0,0,0
39,16,7,0,0,0
40,16,7,0,0,0
42,16,7.5,0,0,0
43,16,8,0,0,0
13,17,8,0,0,0
14,17,7.5,0,0,0
15,17,8,0,0,0
16,17,8,0,0,0
17,17,7.5,0,0,0
19,17,8,0,0,0
20,17,7.5,0,0,0
21,17,9,0.25,0,0
22,17,9,0,0,0
23,17,9,0,0,0
24,17,7.5,0,0,0
25,17,7.5,0,0,0
26,17,7,0,0,0
27,17,7.5,0,0,0
28,17,7,0,0,0
29,17,7.5,0,0,0
31,17,7.5,0,0,0
32,17,6.5,0,0,0
33,17,7.5,0,0,0
34,17,7,0.25,0,0
35,17,7.5,0,0,0
37,17,6.5,0,0,0
38,17,7,0,0,0
40,17,7,0,0,0
41,17,7,0,0,0
42,17,7,0,0,0
43,17,7,0,0,0
15,18,7,0,0,0
17,18,7,0,0,0
18,18,6.5,0.25,0,0
19,18,6.5,0,0,0
20,18,7,0,0,0
21,18,9,0,0,0
22,18,6,0,0,0
23,18,7,0.25,0,0
24,18,6,0,0,0
28,18,6,0,0,0
29,18,7,0,0,0
31,18,7,0,0,0
34,18,7,0,0,0
35,18,7,0.25,0,0
36,18,7,0,0,0
37,18,6.5,0,0,0
38,18,7,0,0,0
39,18,6.5,0,0,0
40,18,7,0,0,0
42,18,7,0,0,0
43,18,7.5,0,0,0
