Week Number,YY,pH,Ammonia(ppm(mg/L)),Nitrite(ppm(mg/L)),Phosphate(ppm(mg/L))
34,14,6.5,NA,NA,NA
35,14,6.5,0,0,0.5
37,14,6.5,0,0,0.5
37,14,7,0,0,0.25
39,14,6.5,0.5,0,1
40,14,6.5,0,0,0.25
13,15,9,0.25,0,0
15,15,7.5,0.5,0,0
16,15,NA,NA,NA,NA
18,15,5,0.25,0.25,0
19,15,5,0.25,0,0.5
19,15,7.5,0.5,0,0.5
20,15,7,0.25,0,0
21,15,7,0.25,0.25,0
22,15,7,NA,NA,NA
23,15,7,0.5,0,0.25
24,15,7,0.25,0,0
26,15,6.5,0.5,0,0
28,15,7,0.25,0,0
29,15,7,0.25,0,1
30,15,7,0.25,0,0.5
31,15,7,0.25,0,0
33,15,6,1,0,0.25
34,15,7,0,0,0.5
35,15,6.25,1,0,0
36,15,7,0,0,0
37,15,6.5,0.25,0,0.25
38,15,6.5,0,0.25,0.5
39,15,6.5,0.5,0,0
41,15,7,0.5,0,0
43,15,7,0.25,0,0.25
22,16,7.5,1,0,0.5
24,16,7,0.25,0,0
25,16,7,0.25,0,0
26,16,7,0.25,0,0
27,16,7.5,0.25,0,0
29,16,6,0.25,0,0
30,16,7,0.25,0,0
31,16,7.5,0.25,0,0
32,16,7,0.25,0,0
33,16,7,0,0,0
34,16,6.5,0,0,0
35,16,7,0,0,0
36,16,6.5,0.5,0,2
36,31,6,0.25,0,1
38,16,7,0,0,0
39,16,7,0.25,0,0
40,16,7,0,0,0
42,16,7.5,0.5,0,0
43,16,7,0.25,0,0
13,17,8,0.25,0,0
14,17,7,0.5,0,0
15,17,7.5,1,0,0
16,17,7.5,1,0,0
17,17,7.5,1,0,0
19,17,7,0.5,0,0
20,17,7,0.25,0,0
21,17,7,0,0,0
21,17,7.5,0.5,0,0
23,17,7.5,0.25,0,0
24,17,7,0,0,0
25,17,6.5,0,0,0
26,17,6.5,0,0.25,0
27,17,6.5,0,0,0
28,17,7.5,0,0,0
29,17,6.5,0,0,0
31,17,7,0,0,0
32,17,7,0,0,0
33,17,7,0,0,0
34,17,7,0.25,0,0
35,17,7,0,0,0
37,17,6.5,0.25,0,0
38,17,6.5,0,0,0
38,17,6.5,0,0,0
40,17,6.5,0,0,0
41,17,6.5,0,0,0
42,17,6.5,0,0,0
43,17,6.5,0,0,0
15,18,7,0.25,0,0
17,18,7,0.5,0,0
18,18,6,0.5,0,0
19,18,7,0,0,0
20,18,6.5,0.25,0,0
21,18,6.5,0,0,0
22,18,7,0,0,0
23,18,7,0,0,0
24,18,7,0,0,0
28,18,6.5,0,0,0
29,18,9,0,0,0
31,18,7,0,0,0
34,18,6.5,0,0,0
35,18,6.5,0.5,0,0
36,18,7,0,0,0
37,18,7,0,0,0
38,18,6.5,0,0,0
39,18,7,0,0,0
40,18,6.5,0.5,0,0
42,18,6.5,0,0,0
43,18,7,0,0,0
